type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol
white,5.6,0.12,0.26,4.3,0.038,97.0,0.99477,3.36,0.46,9.2
white,5.3,0.43,0.11,1.1,0.029,51.0,0.99076,3.51,0.48,11.2
white,7.2,0.24,0.28,1.9,0.032,92.0,0.9914,3.1,0.39,10.9
white,6.7,0.36,0.28,8.3,0.034,81.0,0.99151,2.96,0.39,12.5
red,8.8,0.47,0.49,2.9,0.085,110.0,0.9982,3.29,0.6,9.8
white,6.4,0.42,0.46,8.4,0.05,180.0,0.99495,3.18,0.46,9.7
red,7.9,0.3,0.6400000000000001,8.3,0.05,272.125,0.99316,3.01,0.51,12.3
white,6.8,0.27,0.12,1.3,0.04,168.0,0.992,3.18,0.41,10.0
red,9.65,0.27,0.24,2.1,0.072,33.0,0.9956,3.22,0.66,12.8
white,6.1,0.24,0.32,9.0,0.031,134.0,0.99234,3.25,0.26,12.3
white,7.6,0.31,0.24,1.8,0.037,150.0,0.9913,3.05,0.44,11.8
white,6.4,0.17,0.3,2.8,0.034,125.0,0.99152,3.03,0.49,10.4
white,6.3,0.26,0.24,7.2,0.039,172.0,0.9958,3.49,0.64,9.7
white,7.3,0.17,0.24,8.1,0.10800000000000001,162.0,0.99508,3.17,0.38,10.4
white,5.7,0.12,0.26,5.5,0.034,99.0,0.99324,3.09,0.57,9.9
white,8.4,0.16,0.33,1.5,0.033,98.0,0.994,3.14,0.42,9.7
white,6.6,0.23,0.18,8.5,0.044,188.0,0.99558,3.16,0.49,9.5
red,5.1,0.585,0.0,1.7,0.044,86.0,0.99264,3.56,0.855,12.9
white,7.2,0.29,0.53,16.05,0.047,182.0,0.9992,3.09,0.52,9.6
white,5.9,0.415,0.13,1.4,0.04,64.0,0.9922,3.29,0.52,10.5
red,6.8,0.56,0.22,1.8,0.074,24.0,0.99438,3.4,0.82,11.2
white,7.5,0.32,0.37,1.2,0.048,184.0,0.9938,3.09,0.43,9.3
white,8.5,0.2,0.4,1.1,0.046,106.0,0.99194,3.0,0.35,10.5
red,7.2,0.57,0.06,1.6,0.076,27.0,0.9972,3.36,0.7,9.6
white,6.3,0.27,0.49,1.2,0.063,92.0,0.9911,3.38,0.42,12.2
red,9.65,0.31,0.51,2.2,0.079,28.0,0.9982,3.03,0.855,9.8
red,9.65,0.29,0.49,2.6,0.059,13.0,0.9976,3.05,0.74,10.5
red,7.1,0.6799999999999999,0.07,1.9,0.075,51.0,0.99685,3.38,0.52,9.5
red,9.6,0.38,0.31,2.5,0.096,49.0,0.9982,3.19,0.7,10.0
white,5.6,0.2,0.36,2.5,0.048,125.0,0.99282,3.49,0.49,10.0
red,8.7,0.31,0.46,1.4,0.059,25.0,0.9966,3.36,0.76,10.1
white,7.8,0.18,0.31,12.2,0.053,140.0,0.998,3.06,0.53,8.9
white,6.7,0.265,0.22,8.6,0.048,198.0,0.9955,3.25,0.41,10.2
white,6.8,0.18,0.28,8.7,0.047,242.0,0.9952,3.22,0.53,10.5
white,7.6,0.4,0.27,5.2,0.03,101.0,0.99172,3.22,0.62,12.3
white,7.6,0.31,0.26,1.7,0.073,157.0,0.9938,3.1,0.46,9.8
white,7.4,0.16,0.3,1.4,0.064,166.0,0.99136,3.11,0.42,11.43333333
red,9.65,0.35,0.49,3.3,0.07,37.0,1.0003,3.32,0.855,11.0
white,6.0,0.27,0.28,4.8,0.063,201.0,0.9964,3.66,0.71,10.0
red,9.65,0.6799999999999999,0.53,3.4,0.10800000000000001,21.0,0.9992,3.17,0.84,12.2
white,7.2,0.23,0.39,2.3,0.033,102.0,0.9908,3.26,0.54,12.3
white,6.3,0.26,0.25,5.2,0.046,133.0,0.99202,2.97,0.68,11.0
white,7.4,0.28,0.5,12.1,0.049,122.0,0.9973,3.01,0.44,9.0
red,9.65,0.6799999999999999,0.32,2.3,0.078,152.0,0.998,3.25,0.48,9.4
white,8.1,0.34,0.28,7.5,0.04,230.0,0.99558,3.14,0.55,9.8
white,7.5,0.27,0.6400000000000001,11.95,0.04,159.0,0.99839,2.98,0.44,8.7
white,7.3,0.32,0.25,7.2,0.056,180.0,0.9961,3.08,0.47,8.8
red,8.2,0.43,0.29,1.6,0.081,45.0,0.99603,3.25,0.54,10.3
red,7.2,0.645,0.0,1.9,0.097,39.0,0.99675,3.37,0.58,9.2
white,7.6,0.36,0.49,11.3,0.046,221.0,0.9984,3.01,0.43,9.2
white,7.1,0.39,0.35,12.5,0.044,72.0,0.9941,3.17,0.29,11.6
red,9.65,0.63,0.5,1.4,0.071,26.0,0.99791,3.07,0.6,10.4
red,9.1,0.28,0.48,1.8,0.067,46.0,0.9967,3.32,0.855,10.6
white,7.0,0.27,0.32,6.8,0.047,193.0,0.9938,3.23,0.39,11.4
white,6.2,0.36,0.14,8.9,0.036,155.0,0.99622,3.27,0.5,9.4
white,6.2,0.26,0.2,8.0,0.047,111.0,0.99445,3.11,0.42,10.4
white,7.0,0.14,0.32,9.0,0.039,141.0,0.9956,3.22,0.43,9.4
white,6.2,0.23,0.36,16.05,0.039,130.0,0.99946,3.23,0.43,8.8
white,6.5,0.41,0.22,4.8,0.052,142.0,0.9946,3.14,0.62,9.2
white,6.6,0.62,0.2,8.7,0.046,224.0,0.99605,3.17,0.44,9.3
white,7.1,0.32,0.29,4.0,0.038,170.0,0.99463,3.27,0.64,10.2
white,5.6,0.12,0.33,2.9,0.044,73.0,0.98896,3.17,0.32,12.9
white,7.0,0.28,0.39,8.7,0.051,141.0,0.9961,3.38,0.53,10.5
white,7.4,0.24,0.31,8.4,0.045,183.0,0.9963,3.09,0.32,8.8
red,9.1,0.6799999999999999,0.04,1.6,0.078,14.0,0.998,3.29,0.54,9.7
white,7.4,0.25,0.37,6.9,0.02,93.0,0.9939,3.0,0.48,10.7
white,7.2,0.23,0.33,12.7,0.049,183.0,0.9987,3.41,0.4,9.8
white,7.4,0.27,0.48,1.1,0.047,132.0,0.9914,3.19,0.49,11.6
red,8.5,0.49,0.11,2.3,0.084,67.0,0.9968,3.17,0.53,9.4
white,7.5,0.31,0.51,14.8,0.039,204.0,0.9982,3.06,0.6,9.5
white,6.6,0.17,0.35,2.6,0.03,78.0,0.99146,3.22,0.72,11.3
white,6.9,0.43,0.28,9.4,0.056,183.0,0.99594,3.17,0.43,9.4
white,6.6,0.39,0.22,4.0,0.038,98.0,0.99018,3.25,0.53,13.0
white,5.9,0.26,0.3,1.0,0.036,114.0,0.9928,3.58,0.48,9.4
white,7.2,0.27,0.31,1.2,0.031,80.0,0.98892,3.03,0.33,12.7
white,8.0,0.4,0.33,7.7,0.034,98.0,0.9935,3.18,0.41,12.2
red,9.65,0.44,0.42,2.2,0.064,19.0,0.99758,3.25,0.57,10.4
white,7.4,0.24,0.22,10.7,0.042,81.0,0.9954,2.86,0.36,9.7
white,7.0,0.21,0.42,5.3,0.037,123.0,0.99321,3.14,0.52,10.9
red,6.7,0.6799999999999999,0.02,1.8,0.078,12.0,0.996,3.55,0.63,9.95
white,7.2,0.39,0.62,11.0,0.047,178.0,0.9976,3.16,0.5,8.7
white,6.7,0.25,0.26,1.55,0.041,216.0,0.9949,3.55,0.63,9.4
white,5.4,0.185,0.19,7.1,0.048,110.0,0.99438,3.26,0.41,9.5
white,6.0,0.35,0.51,1.2,0.029,102.0,0.9903,3.46,0.42,11.9
white,6.2,0.36,0.32,4.0,0.036,92.0,0.98936,3.2,0.5,13.3
white,5.6,0.255,0.57,10.7,0.056,171.0,0.99464,3.25,0.61,10.4
white,6.9,0.32,0.26,2.3,0.03,103.0,0.99106,3.06,0.42,11.1
white,6.0,0.29,0.25,1.4,0.033,114.0,0.98794,3.08,0.43,13.2
white,5.6,0.41,0.24,1.9,0.034,53.0,0.98815,3.32,0.5,13.5
red,9.65,0.41,0.52,3.0,0.08,55.0,1.0001,3.26,0.855,11.0
white,6.6,0.26,0.46,7.8,0.047,186.0,0.9958,3.2,0.54,9.1
white,6.3,0.41,0.16,0.9,0.032,98.0,0.99274,3.16,0.42,9.5
white,7.9,0.44,0.37,5.85,0.033,93.0,0.992,3.16,0.54,12.6
white,7.5,0.38,0.33,9.2,0.043,116.0,0.99444,3.08,0.42,11.4
white,6.1,0.17,0.42,15.1,0.033,124.0,0.99684,2.87,0.47,9.5
white,5.9,0.32,0.26,1.5,0.057,141.0,0.9917,3.24,0.36,10.7
white,6.0,0.22,0.23,5.0,0.045,122.0,0.99261,2.94,0.63,10.0
red,9.65,0.33,0.49,3.4,0.093,80.0,1.0002,3.3,0.76,10.7
white,7.1,0.39,0.39,11.1,0.034,204.0,0.99616,3.05,0.52,10.0
red,7.2,0.58,0.54,2.1,0.10800000000000001,9.0,0.99719,3.33,0.57,10.3
white,9.65,0.24,0.45,1.2,0.033,59.0,0.9926,2.7799999999999994,0.47,10.8
white,8.9,0.33,0.34,1.4,0.056,171.0,0.9946,3.13,0.47,9.7
red,7.0,0.23,0.4,1.6,0.063,67.0,0.9952,3.5,0.63,11.1
white,6.8,0.25,0.24,1.6,0.045,164.0,0.99402,3.53,0.58,10.8
white,6.3,0.25,0.44,11.6,0.041,195.0,0.9968,3.18,0.52,9.5
white,7.7,0.28,0.29,4.3,0.051,142.0,0.9939,3.16,0.39,10.2
red,6.4,0.53,0.09,3.9,0.10800000000000001,31.0,0.9968,3.5,0.67,11.0
red,5.7,0.6,0.0,1.4,0.063,18.0,0.99191,3.45,0.56,12.2
white,8.1,0.24,0.32,10.5,0.03,105.0,0.99407,3.11,0.42,11.8
red,8.4,0.36,0.32,2.2,0.081,79.0,0.9964,3.3,0.72,11.0
red,6.8,0.63,0.12,3.8,0.099,126.0,0.9969,3.28,0.61,9.5
white,6.8,0.19,0.33,4.9,0.047,130.0,0.99283,3.12,0.56,11.0
white,7.0,0.33,0.28,5.7,0.033,204.0,0.99176,3.17,0.64,12.5
white,7.1,0.26,0.32,5.9,0.037,97.0,0.9934,3.31,0.4,11.6
white,6.5,0.26,0.27,12.9,0.044,215.0,0.9967,3.17,0.43,10.0
white,5.9,0.27,0.29,11.4,0.036,115.0,0.9949,3.35,0.48,10.5
white,5.2,0.285,0.29,5.15,0.035,138.0,0.9895,3.19,0.34,12.4
white,6.7,0.29,0.49,4.7,0.034,156.0,0.9945,3.13,0.45,9.9
white,5.8,0.27,0.26,3.5,0.071,69.0,0.98994,3.1,0.38,11.5
white,6.4,0.41,0.24,14.0,0.048,113.0,0.9982,3.44,0.53,9.8
white,7.0,0.36,0.3,5.0,0.04,143.0,0.99173,3.33,0.42,12.2
white,5.0,0.27,0.4,1.2,0.076,124.0,0.99204,3.32,0.47,10.1
white,7.2,0.33,0.28,1.4,0.034,109.0,0.99246,3.28,0.57,10.6
white,4.8,0.65,0.12,1.1,0.013,10.0,0.99246,3.32,0.36,13.5
white,9.0,0.2,0.33,3.5,0.049,40.0,0.9944,3.14,0.36,9.8
red,8.3,0.675,0.26,2.1,0.084,43.0,0.9976,3.31,0.53,9.2
white,6.8,0.23,0.3,1.7,0.043,95.0,0.99207,3.17,0.46,10.7
white,6.4,0.2,0.15,6.6,0.046,113.0,0.99408,2.99,0.58,9.9
white,7.0,0.16,0.26,7.3,0.047,220.0,0.99622,3.38,0.58,10.1
red,7.6,0.3,0.42,2.0,0.052,24.0,0.9963,3.44,0.82,11.9
white,6.6,0.23,0.29,14.45,0.057,144.0,0.99756,3.33,0.54,10.2
white,7.5,0.23,0.49,7.7,0.049,209.0,0.9941,3.14,0.3,11.1
white,6.1,0.3,0.56,2.8,0.044,179.0,0.9924,3.3,0.57,10.9
white,8.0,0.25,0.35,1.1,0.054,136.0,0.99366,3.08,0.55,9.5
white,7.0,0.24,0.47,1.3,0.043,131.0,0.99176,3.19,0.45,11.0
white,6.6,0.14,0.44,1.6,0.042,140.0,0.993,3.32,0.51,10.2
red,9.6,0.6799999999999999,0.24,2.2,0.087,28.0,0.9988,3.14,0.6,10.2
white,6.8,0.34,0.27,5.2,0.06,169.0,0.99252,3.27,0.57,11.6
red,7.3,0.65,0.0,1.2,0.065,21.0,0.9946,3.39,0.47,10.0
white,8.3,0.18,0.3,1.1,0.033,57.0,0.99109,3.02,0.51,11.0
white,6.8,0.26,0.29,16.05,0.056,179.0,0.9998,3.45,0.4,9.6
white,7.0,0.26,0.26,10.8,0.039,184.0,0.99787,3.47,0.58,10.3
white,7.3,0.24,0.34,15.4,0.05,174.0,0.9983,3.03,0.42,9.0
white,7.0,0.27,0.6400000000000001,1.5,0.036,122.0,0.9926,3.35,0.48,11.2
red,7.4,0.36,0.3,1.8,0.074,24.0,0.99419,3.24,0.7,11.4
white,6.6,0.45,0.43,7.2,0.064,186.0,0.9954,3.12,0.44,9.4
white,7.3,0.24,0.43,2.0,0.021,69.0,0.99,3.08,0.56,12.2
white,5.1,0.26,0.34,6.4,0.034,99.0,0.99449,3.23,0.41,9.2
white,6.4,0.22,0.56,14.5,0.055,159.0,0.998,2.98,0.4,9.1
white,6.2,0.24,0.27,2.9,0.039,123.0,0.98959,3.12,0.37,12.8
white,7.7,0.18,0.53,1.2,0.041,167.0,0.9908,3.11,0.44,11.9
white,6.3,0.21,0.31,1.2,0.043,117.0,0.99158,3.49,0.68,11.0
red,9.1,0.5,0.3,1.9,0.065,17.0,0.99774,3.32,0.71,10.5
white,6.5,0.28,0.28,8.5,0.047,210.0,0.9962,3.09,0.54,8.9
white,6.6,0.56,0.22,8.9,0.034,133.0,0.99675,3.2,0.51,9.1
white,7.4,0.13,0.39,4.7,0.042,137.0,0.995,3.36,0.56,10.3
white,6.6,0.2,0.27,10.9,0.038,130.0,0.99496,3.11,0.44,10.5
white,6.5,0.28,0.25,4.8,0.029,128.0,0.99074,3.17,0.44,12.2
white,4.7,0.455,0.18,1.9,0.036,106.0,0.98746,3.21,0.83,14.0
white,7.5,0.33,0.36,2.6,0.051,126.0,0.99097,3.32,0.53,12.7
red,7.4,0.58,0.0,2.0,0.064,11.0,0.99562,3.45,0.58,11.3
white,6.9,0.54,0.26,12.7,0.049,195.0,0.99596,3.26,0.54,10.5
white,7.3,0.28,0.36,12.7,0.04,140.0,0.998,3.3,0.79,9.6
white,5.2,0.24,0.15,7.1,0.043,134.0,0.99378,3.24,0.48,9.9
white,6.1,0.2,0.25,1.2,0.038,128.0,0.9921,3.24,0.44,10.1
white,6.2,0.28,0.27,10.3,0.03,108.0,0.99388,3.2,0.36,10.7
white,6.3,0.3,0.19,7.7,0.049,184.0,0.99514,3.22,0.48,9.5
white,8.5,0.21,0.26,9.25,0.034,142.0,0.9945,3.05,0.37,11.4
red,9.1,0.6,0.0,1.9,0.058,10.0,0.9977,3.18,0.63,10.4
white,7.1,0.33,0.25,1.6,0.03,126.0,0.9901,3.22,0.34,12.1
red,6.4,0.6799999999999999,0.03,3.2,0.071,58.0,0.995,3.61,0.49,12.7
white,8.3,0.41,0.51,2.0,0.046,207.0,0.993,3.02,0.55,11.4
white,6.6,0.25,0.36,8.1,0.045,180.0,0.9958,3.08,0.42,9.2
white,6.3,0.28,0.29,6.8,0.051,143.0,0.99374,3.43,0.59,11.0
white,7.7,0.28,0.24,2.4,0.044,157.0,0.99312,3.27,0.56,10.6
white,6.6,0.24,0.24,8.6,0.034,135.0,0.99582,3.33,0.59,10.3
white,6.4,0.125,0.36,1.4,0.044,68.0,0.99014,3.15,0.5,11.7
white,7.3,0.24,0.29,1.2,0.037,97.0,0.9926,3.19,0.7,10.1
red,7.4,0.6799999999999999,0.0,4.25,0.097,14.0,0.9966,3.63,0.54,10.7
white,6.6,0.52,0.44,12.2,0.048,245.0,0.9975,3.26,0.54,9.3
white,6.7,0.24,0.36,8.4,0.042,123.0,0.99473,3.34,0.52,10.9
red,6.4,0.47,0.4,2.4,0.071,19.0,0.9963,3.56,0.73,10.6
white,7.5,0.21,0.34,1.2,0.06,111.0,0.9931,3.51,0.47,10.7
red,7.5,0.42,0.31,1.6,0.08,42.0,0.9978,3.31,0.64,9.0
red,7.6,0.665,0.1,1.5,0.066,55.0,0.99655,3.39,0.51,9.3
white,6.5,0.36,0.31,4.1,0.061,134.0,0.99475,3.18,0.45,9.0
white,6.3,0.27,0.38,0.9,0.051,140.0,0.9926,3.45,0.5,10.5
white,6.4,0.475,0.06,1.0,0.03,131.0,0.9904,2.97,0.29,10.8
white,6.8,0.26,0.46,8.3,0.037,173.0,0.99601,3.17,0.47,9.3
red,9.1,0.36,0.39,1.8,0.06,55.0,0.99495,3.18,0.82,11.0
white,7.1,0.34,0.2,6.1,0.063,164.0,0.9946,3.17,0.42,10.0
red,7.7,0.61,0.18,2.4,0.083,20.0,0.9963,3.29,0.6,10.2
white,6.0,0.2,0.38,1.3,0.034,104.0,0.98865,3.11,0.52,12.7
white,8.6,0.37,0.6400000000000001,12.15,0.039,158.0,0.9983,3.0,0.73,9.3
white,6.1,0.37,0.2,7.6,0.031,170.0,0.99558,3.22,0.48,9.5
white,7.0,0.15,0.38,2.2,0.047,96.0,0.9928,3.13,0.39,10.4
white,6.7,0.34,0.43,1.6,0.041,114.0,0.99014,3.23,0.44,12.6
white,7.1,0.29,0.49,1.2,0.031,99.0,0.9893,3.07,0.33,12.2
white,5.9,0.5,0.05,2.6,0.054,146.0,0.9948,3.43,0.5,9.2
white,6.6,0.15,0.32,6.0,0.033,128.0,0.99192,3.19,0.71,12.1
red,6.9,0.58,0.01,1.9,0.08,54.0,0.99683,3.4,0.73,9.7
white,7.6,0.2,0.34,1.8,0.041,148.0,0.99335,3.35,0.66,11.1
white,7.0,0.36,0.25,5.7,0.015,73.0,0.98963,2.82,0.59,13.2
red,8.8,0.27,0.39,2.0,0.1,27.0,0.99546,3.15,0.69,11.2
white,6.4,0.34,0.1,1.1,0.048,84.0,0.9927,3.21,0.38,9.8
white,6.3,0.4,0.32,10.6,0.049,209.0,0.9981,3.47,0.59,9.3
white,7.5,0.3,0.6400000000000001,1.3,0.10800000000000001,149.0,0.9948,3.08,0.42,8.9
white,6.2,0.17,0.3,1.1,0.037,79.0,0.993,3.5,0.54,10.3
white,9.4,0.3,0.32,10.7,0.029,111.0,0.9958,2.85,0.42,10.6
white,7.9,0.44,0.26,4.45,0.033,100.0,0.99117,3.17,0.52,12.7
white,6.2,0.21,0.38,6.8,0.036,245.0,0.9951,3.06,0.36,9.3
white,7.2,0.29,0.18,8.2,0.042,180.0,0.99644,3.16,0.49,9.1
white,6.8,0.19,0.34,1.9,0.04,108.0,0.99,3.25,0.45,12.9
white,7.1,0.31,0.5,14.5,0.059,148.0,0.9983,2.94,0.44,9.1
white,5.8,0.2,0.24,1.4,0.033,169.0,0.99043,3.59,0.56,12.3
red,9.65,0.31,0.47,1.6,0.062,33.0,0.9983,3.27,0.66,10.0
white,6.5,0.35,0.36,0.8,0.034,111.0,0.98942,3.11,0.5,12.1
white,7.8,0.29,0.36,7.0,0.042,161.0,0.9941,3.26,0.37,11.2
red,8.0,0.33,0.53,2.5,0.091,80.0,0.9976,3.37,0.8,9.6
red,9.2,0.54,0.31,2.3,0.10800000000000001,38.0,0.99699,3.24,0.56,10.9
red,7.2,0.61,0.08,4.0,0.082,108.0,0.99641,3.25,0.51,9.4
white,6.7,0.19,0.23,6.2,0.047,117.0,0.9945,3.34,0.43,9.6
white,7.7,0.31,0.23,2.0,0.069,134.0,0.99382,3.11,0.62,9.8
white,5.5,0.32,0.13,1.3,0.037,156.0,0.99184,3.26,0.38,10.7
red,6.7,0.28,0.28,2.4,0.012,100.0,0.99064,3.26,0.39,11.7
white,6.8,0.67,0.3,13.0,0.10800000000000001,193.0,0.9984,3.08,0.67,9.0
red,6.8,0.59,0.1,1.7,0.063,53.0,0.9958,3.41,0.67,9.7
red,6.8,0.67,0.15,1.8,0.10800000000000001,20.0,0.9954,3.42,0.67,11.3
white,7.0,0.24,0.26,1.7,0.041,110.0,0.99142,3.2,0.53,11.0
white,6.8,0.18,0.46,1.4,0.064,160.0,0.9924,3.37,0.45,11.1
white,6.7,0.24,0.29,14.9,0.053,136.0,0.99839,3.03,0.52,9.0
red,7.1,0.63,0.06,2.0,0.083,29.0,0.99855,3.66,0.73,9.6
white,7.2,0.4,0.62,10.8,0.041,189.0,0.9976,3.08,0.49,8.6
red,8.6,0.49,0.28,1.9,0.10800000000000001,136.0,0.9972,2.93,0.855,9.9
white,7.4,0.32,0.22,11.7,0.035,150.0,0.99578,3.1,0.45,10.4
red,7.8,0.53,0.04,1.7,0.076,31.0,0.9964,3.33,0.56,10.0
white,6.4,0.38,0.19,4.5,0.038,119.0,0.99151,3.07,0.42,11.2
white,6.3,0.6799999999999999,0.55,12.9,0.056,252.0,0.99806,3.29,0.49,8.7
red,9.1,0.4,0.57,4.6,0.08,20.0,0.99652,3.28,0.57,12.5
white,7.8,0.3,0.4,1.8,0.028,122.0,0.9914,3.14,0.39,10.9
white,6.4,0.22,0.38,9.1,0.044,127.0,0.99326,2.97,0.3,11.0
red,6.9,0.41,0.31,2.0,0.079,51.0,0.99668,3.47,0.55,9.5
white,6.0,0.615,0.04,0.8,0.032,50.0,0.99036,3.14,0.4,11.0
red,7.8,0.56,0.19,2.0,0.081,108.0,0.9962,3.32,0.54,9.5
red,6.9,0.6799999999999999,0.06,2.1,0.061,31.0,0.9948,3.51,0.43,11.4
white,5.8,0.28,0.35,2.3,0.053,114.0,0.9924,3.28,0.5,10.2
red,6.9,0.6799999999999999,0.21,4.1,0.074,65.0,0.99842,3.53,0.72,9.233333333
white,6.8,0.34,0.36,8.9,0.029,128.0,0.99318,3.28,0.35,11.95
white,8.4,0.35,0.56,13.8,0.048,190.0,0.9993,3.07,0.58,9.4
white,7.1,0.25,0.25,1.6,0.046,181.0,0.9925,3.2,0.42,11.0
red,7.8,0.6799999999999999,0.01,2.6,0.074,90.0,0.99621,3.38,0.62,10.8
white,7.7,0.24,0.29,15.3,0.044,194.0,0.9982,3.06,0.47,9.6
white,7.9,0.2,0.49,1.6,0.053,144.0,0.993,3.16,0.47,10.5
red,8.9,0.59,0.39,2.3,0.095,22.0,0.9986,3.37,0.58,10.3
white,5.8,0.27,0.22,12.7,0.058,206.0,0.9946,3.32,0.38,12.3
